drug_name,smiles,expected_formula
Risperidone,CC1=C(CCN2CCC(CC2)C2=NOC3=CC(F)=CC=C23)C(=O)N2CCCCC2=N1,C23H27FN4O2
Rosuvastatin,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,C22H28FN3O6S
Sertraline,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,C17H17Cl2N
Sildenafil,CCCc1nn(C)c2c1nc([nH]c2=O)-c1cc(ccc1OCC)S(=O)(=O)N1CCN(C)CC1,C22H30N6O4S
Simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,C25H38O5
Sitagliptin,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,C16H15F6N5O
Tadalafil,O=C1N(C)C(=O)[C@@H]2Cc3c([nH]c4ccccc34)[C@H]2N1Cc1ccc2c(c1)OCO2,C22H19N3O4
Tamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,C26H29NO
Thalidomide,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,C13H10N2O4
Topiramate,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,C12H21NO8S
Tramadol,COc1cccc(C2(O)CCCCC2CN(C)C)c1,C16H25NO2
Valproate,CCCC(CCC)C(=O)O,C8H16O2
Vardenafil,CCCc1nc2c(c(=O)[nH]1)n(C)nc2-c1cc(ccc1OCC)S(=O)(=O)N1CCN(CC)CC1,C23H32N6O4S
Varenicline,C1NC2CC1Cc1cc3nccnc3cc12,C13H13N3
Venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,C17H27NO2
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,C19H16O4
